region_key,region_label,button,year,layer,layer_name,depth_min_m,depth_max_m,o2_value_umol_kg,o2_baseline_2004_umol_kg,o2_change_from_2004_umol_kg,o2_change_from_2004_percent,color_mode,blue_intensity_percent,led_red,led_green,led_blue,rgb_tuple
eastern_tropical_atlantic,Eastern Tropical Atlantic,4,2019,3,400-600m,400,600,91.49534606933594,92.44347381591797,-0.9481277465820312,-1.025629725328184,normal,34.0,0,0,87,"(0, 0, 87)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,4,2019,4,600-750m,600,750,117.16973114013672,118.1111831665039,-0.9414520263671875,-0.7970896583433612,normal,72.4,0,0,185,"(0, 0, 185)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,4,2019,5,750-900m,750,900,133.32614135742188,134.5455780029297,-1.2194366455078125,-0.906337215691518,normal,96.6,0,0,246,"(0, 0, 246)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,5,2024,1,100-250m,100,250,107.28321075439453,107.46971893310547,-0.1865081787109375,-0.17354486506755407,normal,57.6,0,0,147,"(0, 0, 147)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,5,2024,2,250-400m,250,400,82.1170425415039,84.32823944091797,-2.2111968994140625,-2.622130989658892,normal,20.0,0,0,51,"(0, 0, 51)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,5,2024,3,400-600m,400,600,89.49105834960938,92.44347381591797,-2.9524154663085938,-3.1937521865391143,normal,31.0,0,0,79,"(0, 0, 79)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,5,2024,4,600-750m,600,750,115.16629028320312,118.1111831665039,-2.9448928833007812,-2.4933226510391497,normal,69.4,0,0,177,"(0, 0, 177)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,5,2024,5,750-900m,750,900,132.33790588378906,134.5455780029297,-2.207672119140625,-1.6408358802342458,normal,95.1,0,0,243,"(0, 0, 243)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,1,100-250m,100,250,66.8492202758789,66.8492202758789,0.0,0.0,inverted,26.6,0,0,68,"(0, 0, 68)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,2,250-400m,250,400,15.471203804016113,15.471203804016113,0.0,0.0,inverted,99.9,0,0,255,"(0, 0, 255)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,3,400-600m,400,600,16.736736297607422,16.736736297607422,0.0,0.0,inverted,98.1,0,0,250,"(0, 0, 250)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,4,600-750m,600,750,33.1469612121582,33.1469612121582,0.0,0.0,inverted,74.7,0,0,190,"(0, 0, 190)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,5,750-900m,750,900,46.630619049072266,46.630619049072266,0.0,0.0,inverted,55.4,0,0,141,"(0, 0, 141)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,1,100-250m,100,250,65.91380310058594,66.8492202758789,-0.9354171752929688,-1.3992940701964984,inverted,27.9,0,0,71,"(0, 0, 71)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,2,250-400m,250,400,15.372029304504395,15.471203804016113,-0.09917449951171875,-0.6410263917923077,inverted,100.0,0,0,255,"(0, 0, 255)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,3,400-600m,400,600,16.389347076416016,16.736736297607422,-0.34738922119140625,-2.0756090973427526,inverted,98.5,0,0,251,"(0, 0, 251)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,4,600-750m,600,750,32.584774017333984,33.1469612121582,-0.5621871948242188,-1.6960444465057334,inverted,75.5,0,0,193,"(0, 0, 193)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,5,750-900m,750,900,46.44548797607422,46.630619049072266,-0.18513107299804688,-0.3970161168206282,inverted,55.7,0,0,142,"(0, 0, 142)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,1,100-250m,100,250,64.96289825439453,66.8492202758789,-1.886322021484375,-2.821756205532009,inverted,29.3,0,0,75,"(0, 0, 75)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,2,250-400m,250,400,15.993393898010254,15.471203804016113,0.5221900939941406,3.3752389316892533,inverted,99.1,0,0,253,"(0, 0, 253)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,3,400-600m,400,600,17.231943130493164,16.736736297607422,0.4952068328857422,2.9588016688566325,inverted,97.3,0,0,248,"(0, 0, 248)"
